time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Setpoint value active current [Arms];Actual active current value [Arms];Position control error [mm]
239.062517881393;46.0748135;46.0744114;-0.06192655;-0.06278822;-0.1819864;-0.1894033;0.0004021
240.125015377998;46.0126308;46.0109920;-0.06199091;-0.0631786;-0.04350286;-0.08178619;0.0016388
241.187512874603;45.9435703;45.9405989;-0.0605856;-0.06268749;-0.08547245;-0.04278063;0.0029714
242.250010371208;45.8820625;45.8794446;-0.06174999;-0.06172596;-0.1950426;-0.1601447;0.0026179
243.312507867813;45.8121211;45.8107204;-0.06173814;-0.06130868;-0.1019683;-0.2142238;0.0014007
244.375020265579;45.7509502;45.7499833;-0.06090171;-0.06090805;-0.2207713;-0.1349327;0.0009669
245.437517762184;45.6815220;45.6815572;-0.06208986;-0.06087995;-0.2450012;-0.2348066;-0.0000352
246.500015258789;45.6195000;45.6200452;-0.06206074;-0.06129908;-0.2208027;-0.1946697;-0.0005452
247.562512755394;45.5497500;45.5502481;-0.06205549;-0.06183873;-0.1930957;-0.2121658;-0.0004981
248.625010251999;45.4877596;45.4879017;-0.06208517;-0.06217781;-0.1847774;-0.160836;-0.0001421
249.687507748604;45.4180000;45.4178066;-0.06089512;-0.06223921;-0.04643808;-0.05770442;0.0001934
250.750005245209;45.3570000;45.3565926;-0.0617046;-0.06154188;-0.2450023;-0.2542445;0.0004074
251.812517642975;45.2872500;45.2879877;-0.06208219;-0.06121696;-0.2283936;-0.2673085;-0.0007377
252.875000238419;45.2252500;45.2266545;-0.06215648;-0.06133844;-0.232537;-0.2248379;-0.0014045
253.937512636185;45.1555000;45.1569171;-0.06215788;-0.06179734;-0.2106178;-0.2072057;-0.0014171
255.000025033951;45.0935000;45.0940938;-0.06206616;-0.06246467;-0.1657821;-0.1707165;-0.0005938
256.062507629395;45.0237500;45.0232238;-0.06194137;-0.0628101;-0.1323749;-0.1488827;0.0005262
257.125020027161;44.9617500;44.9604602;-0.06185629;-0.06273423;-0.1246777;-0.1166624;0.0012898
258.187502622604;44.8920000;44.8903055;-0.0618112;-0.06244424;-0.1323471;-0.1391696;0.0016945
259.25001502037;44.8300000;44.8285551;-0.06183901;-0.0619895;-0.1577653;-0.1135337;0.0014449
260.312527418137;44.7602500;44.7594733;-0.06191346;-0.06161565;-0.1852615;-0.1727377;0.0007767
261.37501001358;44.6982500;44.6981997;-0.06199439;-0.06143689;-0.2043308;-0.2138632;0.0000503
262.437522411346;44.6285000;44.6289391;-0.06204892;-0.0615488;-0.2057208;-0.1921144;-0.0004391
263.50000500679;44.5665000;44.5671291;-0.06207009;-0.06170063;-0.2010641;-0.2371644;-0.0006291
