time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
301.000028848648;52.9185049;52.8654665;-0.003887467;0.05192822;53.0280000
302.000015974045;52.9179141;52.8834671;-0.001703666;0.02952416;53.0280000
303.000003099442;52.9041328;52.8729767;0.03292967;0.004872334;53.0280000
304.000020027161;53.0074922;52.9171437;0.1077747;0.03286119;53.0280000
305.000007152557;53.0304609;52.9831856;-0.004357702;0.05080964;53.1390000
306.000024080276;53.0298970;53.0014246;-0.002319862;0.029288;53.1390000
307.000011205673;53.0162388;52.9918880;0.03190842;0.005351018;53.1390000
308.000028133392;53.1186753;53.0361146;0.1060346;0.03304887;53.1390000
309.000015258789;53.1414390;53.1013220;-0.005069328;0.05034489;53.2500000
310.000002384186;53.1408970;53.1183094;-0.002975532;0.02829622;53.2500000
311.000019311905;53.1272388;53.1072230;0.03142542;0.004043398;53.2500000
312.000006437302;53.2296753;53.1501382;0.1056978;0.03174874;53.2500000
313.000023365021;53.2524390;53.2146901;-0.005333175;0.04941201;53.3600000
314.000010490417;53.2518799;53.2308429;-0.003098818;0.02745412;53.3600000
315.000027418137;53.2383447;53.2192797;0.03105646;0.003446911;53.3600000
316.000014543533;53.3398584;53.2618373;0.1046565;0.03132172;53.3600000
317.00000166893;53.3624170;53.3260911;-0.005405782;0.04911878;53.4680000
318.000018596649;53.3618457;53.3422440;-0.003159777;0.02732663;53.4680000
319.000005722046;53.3485566;53.3304424;0.03042449;0.003224662;53.4680000
320.000022649765;53.4482246;53.3725828;0.1026466;0.03096493;53.4680000
321.000009775162;53.4703730;53.4364789;-0.005504853;0.04874411;53.5760000
322.000026702881;53.4698457;53.4521550;-0.003372696;0.02692259;53.5760000
323.000013828278;53.4565566;53.4396977;0.03028462;0.002692399;53.5760000
324.000000953674;53.5562246;53.4817785;0.1025133;0.03075577;53.5760000
325.000017881393;53.5783730;53.5453766;-0.005604872;0.04844446;53.6830000
326.00000500679;53.5778286;53.5602182;-0.003332163;0.02631198;53.6830000
327.000021934509;53.5646626;53.5474033;0.03006622;0.002233184;53.6830000
