time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
8192.25025177002;80.0000000;80.0000042;1.185006E-05;80.0000000
8192.99983978271;80.0000000;80.0001234;6.831795E-05;80.0000000
8193.75038146973;80.0000000;80.0000639;-8.089542E-06;80.0000000
8194.49996948242;80.0000000;80.0000043;-4.119832E-05;80.0000000
8195.25051116943;80.0000000;80.0000043;-2.03219E-05;80.0000000
8196.00009918213;80.0000000;79.9999447;-5.711555E-05;80.0000000
8196.74968719482;80.0000000;79.9999447;-2.81734E-05;80.0000000
8197.50022888184;80.0000000;79.9999447;-1.38971E-05;80.0000000
8198.24981689453;80.0000000;79.9999447;-6.855024E-06;80.0000000
8199.00035858154;80.0000000;80.0000042;2.96369E-05;80.0000000
8199.74994659424;80.0000000;79.9999447;-3.239335E-05;80.0000000
8200.50048828125;80.0000000;80.0000042;1.70396E-05;80.0000000
8201.25007629395;80.0000000;80.0000042;8.405127E-06;80.0000000
8201.99966430664;80.0000000;80.0000042;4.145999E-06;80.0000000
8202.75020599365;80.0000000;80.0000638;4.913646E-05;80.0000000
8203.49979400635;80.0000000;80.0000638;2.423755E-05;80.0000000
8204.25033569336;80.0000000;80.0000638;1.195566E-05;80.0000000
8204.99992370605;80.0000000;80.0000638;5.897371E-06;80.0000000
8205.75046539307;80.0000000;80.0000638;2.908997E-06;80.0000000
8206.50005340576;80.0000000;80.0000043;-3.571064E-05;80.0000000
8207.24964141846;80.0000000;80.0000043;-1.7615E-05;80.0000000
8208.00018310547;80.0000000;80.0000043;-8.688952E-06;80.0000000
8208.74977111816;80.0000000;80.0000043;-4.286001E-06;80.0000000
8209.50031280518;80.0000000;80.0000043;-2.114156E-06;80.0000000
8210.24990081787;80.0000000;80.0000638;3.197543E-05;80.0000000
8211.00044250488;80.0000000;80.0001234;6.504204E-05;80.0000000
8211.75003051758;80.0000000;80.0000639;-2.080559E-05;80.0000000
8212.49961853027;80.0000000;80.0000639;-1.805876E-05;80.0000000
8213.25016021729;80.0000000;80.0000639;-8.907848E-06;80.0000000
8213.99974822998;80.0000000;80.0000043;-5.737176E-05;80.0000000
8214.75028991699;80.0000000;80.0000043;-2.829978E-05;80.0000000
8215.49987792969;80.0000000;80.0000043;-1.395944E-05;80.0000000
8216.2504196167;80.0000000;80.0000043;-6.885774E-06;80.0000000
8217.00000762939;80.0000000;80.0000638;3.374901E-05;80.0000000
8217.74959564209;80.0000000;80.0000638;1.664738E-05;80.0000000
8218.5001373291;80.0000000;80.0000043;-2.480662E-05;80.0000000
8219.2497253418;80.0000000;80.0000043;-1.223636E-05;80.0000000
8220.00026702881;80.0000000;80.0000043;-6.035833E-06;80.0000000
8220.7498550415;80.0000000;80.0000043;-2.977297E-06;80.0000000
8221.50039672852;80.0000000;80.0001234;8.217913E-05;80.0000000
8222.24998474121;80.0000000;80.0001234;4.053651E-05;80.0000000
8223.00052642822;80.0000000;80.0001234;1.999545E-05;80.0000000
8223.75011444092;80.0000000;80.0000639;-2.315511E-05;80.0000000
8224.49970245361;80.0000000;80.0000043;-4.082063E-05;80.0000000
8225.25024414063;80.0000000;79.9999447;-7.311338E-05;80.0000000
8225.99983215332;80.0000000;79.9999447;-3.606465E-05;80.0000000
8226.75037384033;80.0000000;79.9999447;-1.778961E-05;80.0000000
8227.49996185303;80.0000000;80.0000042;2.057449E-05;80.0000000
8228.25050354004;80.0000000;80.0000042;1.014878E-05;80.0000000
8229.00009155273;80.0000000;80.0000638;4.221408E-05;80.0000000
8229.74967956543;80.0000000;80.0001234;5.389671E-05;80.0000000
8230.50022125244;80.0000000;80.0001234;2.658564E-05;80.0000000
8231.24980926514;80.0000000;80.0000639;-2.403165E-05;80.0000000
8232.00035095215;80.0000000;80.0000639;-1.18541E-05;80.0000000
8232.74993896484;80.0000000;80.0000043;-3.524618E-05;80.0000000
8233.50048065186;80.0000000;80.0000043;-1.738589E-05;80.0000000
8234.25006866455;80.0000000;80.0000638;3.321281E-05;80.0000000
8234.99965667725;80.0000000;80.0000638;1.638289E-05;80.0000000
8235.75019836426;80.0000000;80.0000043;-3.370757E-05;80.0000000
8236.49978637695;80.0000000;79.9999447;-6.37183E-05;80.0000000
8237.25032806396;80.0000000;80.0000042;1.558201E-05;80.0000000
8237.99991607666;80.0000000;80.0000638;4.489413E-05;80.0000000
8238.75045776367;80.0000000;80.0000638;2.214494E-05;80.0000000
8239.50004577637;80.0000000;80.0000639;-1.466416E-06;80.0000000
8240.24963378906;80.0000000;80.0000639;-7.233394E-07;80.0000000
8241.00017547607;80.0000000;79.9999447;-8.273348E-05;80.0000000
8241.74976348877;80.0000000;79.9999447;-4.080996E-05;80.0000000
8242.50030517578;80.0000000;79.9998851;-6.722169E-05;80.0000000
8243.24989318848;80.0000000;79.9999446;1.385389E-05;80.0000000
